Sl. No.,State/UT,Deaths during 2021 (Till 14th July 2021),Latitude,Longitude
1,Andaman and Nicobar Islands,68,11.6234,92.7265
2,Andhra Pradesh,5937,15.9129,79.74
3,Arunachal Pradesh,137,27.0844,93.6053
4,Assam,3844,26.1433,91.7898
5,Bihar,8218,25.5941,85.1376
6,Chandigarh,491,30.7333,76.7794
7,Chhattisgarh,10114,21.2787,81.8661
8,Dadra and Nagar Haveli and Daman and Diu,2,20.1809,73.0169
9,Delhi,14478,28.7041,77.1025
10,Goa,2362,15.4909,73.8278
11,Gujarat,5767,23.2156,72.6369
12,Haryana,6659,29.0588,76.0856
13,Himachal Pradesh,2560,31.1048,77.1734
14,Jammu and Kashmir,2477,32.7266,74.857
15,Jharkhand,4092,23.6102,85.2799
16,Karnataka,23858,12.9716,77.5946
17,Kerala,11721,8.5241,76.9366
18,Ladakh,94,34.2268,77.5619
19,Madhya Pradesh,6901,23.2599,77.4126
20,Maharashtra,76635,19.076,72.8777
21,Manipur,954,24.817,93.9368
22,Meghalaya,776,25.5788,91.8933
23,Mizoram,105,25.5788,91.8933
24,Nagaland,433,25.6751,94.1086
25,Odisha,2857,20.2961,85.8245
26,Puducherry,1138,11.9416,79.8083
27,Punjab,10846,22.5726,88.3639
28,Rajasthan,6278,26.9124,75.7873
29,Sikkim,190,27.3314,88.6138
30,Tamil Nadu,21378,13.0827,80.2707
31,Telangana,2194,17.385,78.4867
32,Tripura,333,23.8315,91.2868
33,Uttar Pradesh,14331,26.8467,80.9462
34,Uttarakhand,5839,30.3165,78.0322
35,Lakshadweep,50,10.5593,72.6358
36,West Bengal,8234,22.5726,88.3639
India,India,262670,,
